,FlightNum,Qty_Cancelled,Qty,CancelledRatio
937,6029,43,937,4.59
938,4790,73,1589,4.59
939,7818,9,196,4.59
940,4286,104,2265,4.59
941,7444,25,545,4.59
942,2383,114,2485,4.59
943,4450,119,2600,4.58
944,5685,28,612,4.58
945,4793,83,1814,4.58
946,4203,191,4172,4.58
947,7207,20,437,4.58
948,5471,35,764,4.58
949,4068,81,1769,4.58
950,4902,53,1157,4.58
951,7821,9,197,4.57
952,4418,99,2165,4.57
953,4374,125,2737,4.57
954,4791,81,1771,4.57
955,3036,95,2080,4.57
956,4432,54,1181,4.57
957,4609,124,2716,4.57
958,4081,76,1664,4.57
959,4848,53,1161,4.57
960,6818,76,1665,4.56
961,4842,80,1753,4.56
962,4052,102,2238,4.56
963,4940,62,1361,4.56
964,5358,38,834,4.56
965,5420,32,701,4.56
966,3539,78,1715,4.55
967,5601,31,682,4.55
968,7629,25,549,4.55
969,5106,44,967,4.55
970,7157,4,88,4.55
971,5977,2,44,4.55
972,6876,65,1429,4.55
973,5214,33,725,4.55
974,7012,2,44,4.55
975,4805,91,2005,4.54
976,6287,51,1124,4.54
977,3673,115,2535,4.54
978,2729,85,1874,4.54
979,4553,78,1717,4.54
980,3257,118,2598,4.54
981,4554,92,2027,4.54
982,4492,120,2647,4.53
983,4107,98,2163,4.53
984,3935,98,2161,4.53
985,4426,56,1237,4.53
986,2770,103,2276,4.53
987,5668,18,397,4.53
988,4402,163,3602,4.53
989,4167,125,2767,4.52
990,7317,14,310,4.52
991,7935,10,221,4.52
992,4221,118,2609,4.52
993,4512,122,2700,4.52
994,7810,22,487,4.52
995,4528,77,1709,4.51
996,4306,145,3213,4.51
997,7397,13,288,4.51
998,5191,26,578,4.5
999,4413,91,2020,4.5
1000,7936,14,311,4.5
1001,4633,121,2690,4.5
1002,5826,64,1421,4.5
1003,4121,173,3841,4.5
1004,4850,82,1824,4.5
1005,7097,7,156,4.49
1006,2343,138,3071,4.49
1007,2374,205,4563,4.49
1008,5357,36,802,4.49
1009,6531,79,1758,4.49
1010,6870,70,1559,4.49
1011,5761,33,735,4.49
1012,6426,67,1494,4.48
1013,4721,42,938,4.48
1014,3594,42,937,4.48
1015,4318,175,3906,4.48
1016,7923,6,134,4.48
1017,7377,12,268,4.48
1018,5624,27,603,4.48
1019,5040,48,1073,4.47
1020,4047,77,1723,4.47
1021,6810,68,1522,4.47
1022,5030,64,1432,4.47
